//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 3-20-2010
//--  Time: 19:18
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Coolant Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:000//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: -4(F), 	Resistance 1: 16150 Ohms 
//--    Temperature2: 104(F), 	Resistance 2: 1150 Ohms 
//--    Temperature3: 176(F), 	Resistance 3: 330 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	180.00	1800 	0.000
1	180.00	1800 	0.005
2	180.00	1800 	0.010
3	180.00	1800 	0.015
4	180.00	1800 	0.020
5	180.00	1800 	0.024
6	180.00	1800 	0.029
7	180.00	1800 	0.034
8	180.00	1800 	0.039
9	180.00	1800 	0.044
10	180.00	1800 	0.049
11	180.00	1800 	0.054
12	180.00	1800 	0.059
13	180.00	1800 	0.063
14	180.00	1800 	0.068
15	180.00	1800 	0.073
16	180.00	1800 	0.078
17	347.24	3472 	0.083
18	341.13	3411 	0.088
19	335.43	3354 	0.093
20	330.09	3301 	0.098
21	325.07	3251 	0.103
22	320.34	3203 	0.107
23	315.87	3159 	0.112
24	311.64	3116 	0.117
25	307.62	3076 	0.122
26	303.79	3038 	0.127
27	300.14	3001 	0.132
28	296.65	2967 	0.137
29	293.31	2933 	0.142
30	290.11	2901 	0.146
31	287.04	2870 	0.151
32	284.09	2841 	0.156
33	281.24	2812 	0.161
34	278.50	2785 	0.166
35	275.86	2759 	0.171
36	273.31	2733 	0.176
37	270.84	2708 	0.181
38	268.45	2685 	0.186
39	266.14	2661 	0.190
40	263.89	2639 	0.195
41	261.72	2617 	0.200
42	259.60	2596 	0.205
43	257.55	2575 	0.210
44	255.55	2556 	0.215
45	253.61	2536 	0.220
46	251.72	2517 	0.225
47	249.87	2499 	0.229
48	248.08	2481 	0.234
49	246.32	2463 	0.239
50	244.61	2446 	0.244
51	242.94	2429 	0.249
52	241.31	2413 	0.254
53	239.71	2397 	0.259
54	238.15	2382 	0.264
55	236.63	2366 	0.269
56	235.14	2351 	0.273
57	233.67	2337 	0.278
58	232.24	2322 	0.283
59	230.84	2308 	0.288
60	229.46	2295 	0.293
61	228.11	2281 	0.298
62	226.79	2268 	0.303
63	225.49	2255 	0.308
64	224.22	2242 	0.313
65	222.97	2230 	0.317
66	221.74	2217 	0.322
67	220.53	2205 	0.327
68	219.35	2193 	0.332
69	218.18	2182 	0.337
70	217.04	2170 	0.342
71	215.91	2159 	0.347
72	214.80	2148 	0.352
73	213.71	2137 	0.356
74	212.64	2126 	0.361
75	211.58	2116 	0.366
76	210.54	2105 	0.371
77	209.51	2095 	0.376
78	208.50	2085 	0.381
79	207.51	2075 	0.386
80	206.53	2065 	0.391
81	205.56	2056 	0.396
82	204.61	2046 	0.400
83	203.67	2037 	0.405
84	202.74	2027 	0.410
85	201.83	2018 	0.415
86	200.93	2009 	0.420
87	200.04	2000 	0.425
88	199.16	1992 	0.430
89	198.29	1983 	0.435
90	197.44	1974 	0.439
91	196.59	1966 	0.444
92	195.76	1958 	0.449
93	194.93	1949 	0.454
94	194.12	1941 	0.459
95	193.31	1933 	0.464
96	192.52	1925 	0.469
97	191.73	1917 	0.474
98	190.96	1910 	0.479
