//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 2-31-2010
//--  Time: 18:22
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490 Ohms
//--    Temperature1: -40(F), 	Resistance 1: 100700 Ohms 
//--    Temperature2: 86(F), 	Resistance 2: 2238 Ohms 
//--    Temperature3: 210(F), 	Resistance 3: 177 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	70.00	700 	0.000
1	70.00	700 	0.005
2	70.00	700 	0.010
3	70.00	700 	0.015
4	70.00	700 	0.020
5	70.00	700 	0.024
6	70.00	700 	0.029
7	70.00	700 	0.034
8	70.00	700 	0.039
9	70.00	700 	0.044
10	347.28	3473 	0.049
11	339.39	3394 	0.054
12	332.30	3323 	0.059
13	325.88	3259 	0.063
14	320.01	3200 	0.068
15	314.62	3146 	0.073
16	309.64	3096 	0.078
17	305.00	3050 	0.083
18	300.68	3007 	0.088
19	296.62	2966 	0.093
20	292.81	2928 	0.098
21	289.22	2892 	0.103
22	285.81	2858 	0.107
23	282.59	2826 	0.112
24	279.52	2795 	0.117
25	276.59	2766 	0.122
26	273.80	2738 	0.127
27	271.13	2711 	0.132
28	268.57	2686 	0.137
29	266.11	2661 	0.142
30	263.75	2638 	0.146
31	261.48	2615 	0.151
32	259.29	2593 	0.156
33	257.18	2572 	0.161
34	255.14	2551 	0.166
35	253.16	2532 	0.171
36	251.25	2513 	0.176
37	249.40	2494 	0.181
38	247.61	2476 	0.186
39	245.86	2459 	0.190
40	244.17	2442 	0.195
41	242.53	2425 	0.200
42	240.93	2409 	0.205
43	239.37	2394 	0.210
44	237.85	2379 	0.215
45	236.38	2364 	0.220
46	234.93	2349 	0.225
47	233.53	2335 	0.229
48	232.15	2322 	0.234
49	230.81	2308 	0.239
50	229.50	2295 	0.244
51	228.22	2282 	0.249
52	226.96	2270 	0.254
53	225.73	2257 	0.259
54	224.53	2245 	0.264
55	223.35	2234 	0.269
56	222.20	2222 	0.273
57	221.07	2211 	0.278
58	219.96	2200 	0.283
59	218.87	2189 	0.288
60	217.80	2178 	0.293
61	216.75	2168 	0.298
62	215.72	2157 	0.303
63	214.71	2147 	0.308
64	213.71	2137 	0.313
65	212.74	2127 	0.317
66	211.78	2118 	0.322
67	210.83	2108 	0.327
68	209.90	2099 	0.332
69	208.99	2090 	0.337
70	208.09	2081 	0.342
71	207.20	2072 	0.347
72	206.33	2063 	0.352
73	205.47	2055 	0.356
74	204.62	2046 	0.361
75	203.79	2038 	0.366
76	202.96	2030 	0.371
77	202.15	2022 	0.376
78	201.35	2014 	0.381
79	200.57	2006 	0.386
80	199.79	1998 	0.391
81	199.02	1990 	0.396
82	198.27	1983 	0.400
83	197.52	1975 	0.405
84	196.78	1968 	0.410
85	196.05	1961 	0.415
86	195.33	1953 	0.420
87	194.62	1946 	0.425
88	193.92	1939 	0.430
89	193.23	1932 	0.435
90	192.55	1925 	0.439
91	191.87	1919 	0.444
92	191.20	1912 	0.449
93	190.54	1905 	0.454
94	189.89	1899 	0.459
95	189.24	1892 	0.464
96	188.61	1886 	0.469
97	187.97	1880 	0.474
98	187.35	1874 	0.479
99	186.73	1867 	0.483
100	186.12	1861 	0.488
101	185.52	1855 	0.493
102	184.92	1849 	0.498
103	184.33	1843 	0.503
104	183.74	1837 	0.508
105	183.16	1832 	0.513
106	182.59	1826 	0.518
107	182.02	1820 	0.522
108	181.45	1815 	0.527
109	180.90	1809 	0.532
110	180.34	1803 	0.537
111	179.80	1798 	0.542
112	179.25	1793 	0.547
113	178.72	1787 	0.552
114	178.19	1782 	0.557
115	177.66	1777 	0.562
116	177.14	1771 	0.566
117	176.62	1766 	0.571
118	176.11	1761 	0.576
119	175.60	1756 	0.581
120	175.09	1751 	0.586
121	174.59	1746 	0.591
122	174.10	1741 	0.596
123	173.61	1736 	0.601
124	173.12	1731 	0.605
125	172.63	1726 	0.610
126	172.16	1722 	0.615
127	171.68	1717 	0.620
128	171.21	1712 	0.625
129	170.74	1707 	0.630
130	170.28	1703 	0.635
131	169.82	1698 	0.640
132	169.36	1694 	0.645
133	168.91	1689 	0.649
134	168.46	1685 	0.654
135	168.01	1680 	0.659
136	167.57	1676 	0.664
137	167.13	1671 	0.669
138	166.69	1667 	0.674
139	166.26	1663 	0.679
140	165.83	1658 	0.684
141	165.40	1654 	0.688
142	164.97	1650 	0.693
143	164.55	1646 	0.698
144	164.13	1641 	0.703
145	163.72	1637 	0.708
146	163.31	1633 	0.713
147	162.90	1629 	0.718
148	162.49	1625 	0.723
149	162.09	1621 	0.728
150	161.69	1617 	0.732
151	161.29	1613 	0.737
152	160.89	1609 	0.742
153	160.50	1605 	0.747
154	160.11	1601 	0.752
155	159.72	1597 	0.757
156	159.33	1593 	0.762
157	158.95	1589 	0.767
158	158.57	1586 	0.771
159	158.19	1582 	0.776
160	157.81	1578 	0.781
161	157.44	1574 	0.786
162	157.07	1571 	0.791
163	156.70	1567 	0.796
164	156.33	1563 	0.801
165	155.96	1560 	0.806
166	155.60	1556 	0.811
167	155.24	1552 	0.815
168	154.88	1549 	0.820
