//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 0-2-2010
//--  Time: 16:18
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490 Ohms
//--    Temperature1: -40(C), 	Resistance 1: 100700 Ohms 
//--    Temperature2: 30(C), 	Resistance 2: 2238 Ohms 
//--    Temperature3: 99(C), 	Resistance 3: 177 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	70.00	700 	0.000
1	70.00	700 	0.005
2	70.00	700 	0.010
3	70.00	700 	0.015
4	70.00	700 	0.020
5	70.00	700 	0.024
6	70.00	700 	0.029
7	70.00	700 	0.034
8	70.00	700 	0.039
9	70.00	700 	0.044
10	347.91	3479 	0.049
11	339.98	3400 	0.054
12	332.87	3329 	0.059
13	326.42	3264 	0.063
14	320.54	3205 	0.068
15	315.13	3151 	0.073
16	310.12	3101 	0.078
17	305.47	3055 	0.083
18	301.13	3011 	0.088
19	297.07	2971 	0.093
20	293.24	2932 	0.098
21	289.64	2896 	0.103
22	286.22	2862 	0.107
23	282.99	2830 	0.112
24	279.91	2799 	0.117
25	276.97	2770 	0.122
26	274.17	2742 	0.127
27	271.49	2715 	0.132
28	268.93	2689 	0.137
29	266.46	2665 	0.142
30	264.09	2641 	0.146
31	261.82	2618 	0.151
32	259.62	2596 	0.156
33	257.50	2575 	0.161
34	255.45	2555 	0.166
35	253.47	2535 	0.171
36	251.56	2516 	0.176
37	249.70	2497 	0.181
38	247.90	2479 	0.186
39	246.16	2462 	0.190
40	244.46	2445 	0.195
41	242.81	2428 	0.200
42	241.21	2412 	0.205
43	239.64	2396 	0.210
44	238.12	2381 	0.215
45	236.64	2366 	0.220
46	235.19	2352 	0.225
47	233.78	2338 	0.229
48	232.41	2324 	0.234
49	231.06	2311 	0.239
50	229.75	2297 	0.244
51	228.46	2285 	0.249
52	227.20	2272 	0.254
53	225.97	2260 	0.259
54	224.77	2248 	0.264
55	223.58	2236 	0.269
56	222.43	2224 	0.273
57	221.29	2213 	0.278
58	220.18	2202 	0.283
59	219.09	2191 	0.288
60	218.02	2180 	0.293
61	216.97	2170 	0.298
62	215.93	2159 	0.303
63	214.92	2149 	0.308
64	213.92	2139 	0.313
65	212.94	2129 	0.317
66	211.98	2120 	0.322
67	211.03	2110 	0.327
68	210.10	2101 	0.332
69	209.18	2092 	0.337
70	208.28	2083 	0.342
71	207.39	2074 	0.347
72	206.52	2065 	0.352
73	205.66	2057 	0.356
74	204.81	2048 	0.361
75	203.97	2040 	0.366
76	203.15	2031 	0.371
77	202.34	2023 	0.376
78	201.53	2015 	0.381
79	200.74	2007 	0.386
80	199.97	2000 	0.391
81	199.20	1992 	0.396
82	198.44	1984 	0.400
83	197.69	1977 	0.405
84	196.95	1970 	0.410
85	196.22	1962 	0.415
86	195.50	1955 	0.420
87	194.79	1948 	0.425
88	194.09	1941 	0.430
89	193.39	1934 	0.435
90	192.71	1927 	0.439
91	192.03	1920 	0.444
92	191.36	1914 	0.449
93	190.70	1907 	0.454
94	190.04	1900 	0.459
95	189.40	1894 	0.464
96	188.76	1888 	0.469
97	188.13	1881 	0.474
98	187.50	1875 	0.479
99	186.88	1869 	0.483
100	186.27	1863 	0.488
101	185.66	1857 	0.493
102	185.06	1851 	0.498
103	184.47	1845 	0.503
104	183.88	1839 	0.508
105	183.30	1833 	0.513
106	182.73	1827 	0.518
107	182.16	1822 	0.522
108	181.59	1816 	0.527
109	181.03	1810 	0.532
110	180.48	1805 	0.537
111	179.93	1799 	0.542
112	179.39	1794 	0.547
113	178.85	1789 	0.552
114	178.32	1783 	0.557
115	177.79	1778 	0.562
116	177.27	1773 	0.566
117	176.75	1767 	0.571
118	176.23	1762 	0.576
119	175.72	1757 	0.581
120	175.22	1752 	0.586
121	174.72	1747 	0.591
122	174.22	1742 	0.596
123	173.73	1737 	0.601
124	173.24	1732 	0.605
125	172.76	1728 	0.610
126	172.27	1723 	0.615
127	171.80	1718 	0.620
128	171.33	1713 	0.625
129	170.86	1709 	0.630
130	170.39	1704 	0.635
131	169.93	1699 	0.640
132	169.47	1695 	0.645
133	169.02	1690 	0.649
134	168.57	1686 	0.654
135	168.12	1681 	0.659
136	167.68	1677 	0.664
137	167.24	1672 	0.669
138	166.80	1668 	0.674
139	166.36	1664 	0.679
140	165.93	1659 	0.684
141	165.51	1655 	0.688
142	165.08	1651 	0.693
143	164.66	1647 	0.698
144	164.24	1642 	0.703
145	163.82	1638 	0.708
146	163.41	1634 	0.713
147	163.00	1630 	0.718
148	162.59	1626 	0.723
149	162.19	1622 	0.728
150	161.79	1618 	0.732
151	161.39	1614 	0.737
152	160.99	1610 	0.742
153	160.60	1606 	0.747
154	160.20	1602 	0.752
155	159.81	1598 	0.757
156	159.43	1594 	0.762
157	159.04	1590 	0.767
158	158.66	1587 	0.771
159	158.28	1583 	0.776
160	157.91	1579 	0.781
161	157.53	1575 	0.786
162	157.16	1572 	0.791
163	156.79	1568 	0.796
164	156.42	1564 	0.801
165	156.05	1561 	0.806
166	155.69	1557 	0.811
167	155.33	1553 	0.815
168	154.97	1550 	0.820
