//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 2-27-2014
//--  Time: 19:22
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using formula: 7.35 + (adcValue    * 0.01470186 )
//-- Table Identifier:002

ADC 	Value 	MSVal 	volts
0	7.35	74 	0.000
1	7.36	74 	0.005
2	7.38	74 	0.010
3	7.39	74 	0.015
4	7.41	74 	0.020
5	7.42	74 	0.024
6	7.44	74 	0.029
7	7.45	75 	0.034
8	7.47	75 	0.039
9	7.48	75 	0.044
10	7.50	75 	0.049
11	7.51	75 	0.054
12	7.53	75 	0.059
13	7.54	75 	0.063
14	7.56	76 	0.068
15	7.57	76 	0.073
16	7.59	76 	0.078
17	7.60	76 	0.083
18	7.61	76 	0.088
19	7.63	76 	0.093
20	7.64	76 	0.098
21	7.66	77 	0.103
22	7.67	77 	0.107
23	7.69	77 	0.112
24	7.70	77 	0.117
25	7.72	77 	0.122
26	7.73	77 	0.127
27	7.75	77 	0.132
28	7.76	78 	0.137
29	7.78	78 	0.142
30	7.79	78 	0.146
31	7.81	78 	0.151
32	7.82	78 	0.156
33	7.84	78 	0.161
34	7.85	78 	0.166
35	7.86	79 	0.171
36	7.88	79 	0.176
37	7.89	79 	0.181
38	7.91	79 	0.186
39	7.92	79 	0.190
40	7.94	79 	0.195
41	7.95	80 	0.200
42	7.97	80 	0.205
43	7.98	80 	0.210
44	8.00	80 	0.215
45	8.01	80 	0.220
46	8.03	80 	0.225
47	8.04	80 	0.229
48	8.06	81 	0.234
49	8.07	81 	0.239
50	8.09	81 	0.244
51	8.10	81 	0.249
52	8.11	81 	0.254
53	8.13	81 	0.259
54	8.14	81 	0.264
55	8.16	82 	0.269
56	8.17	82 	0.273
57	8.19	82 	0.278
58	8.20	82 	0.283
59	8.22	82 	0.288
60	8.23	82 	0.293
61	8.25	82 	0.298
62	8.26	83 	0.303
63	8.28	83 	0.308
64	8.29	83 	0.313
65	8.31	83 	0.317
66	8.32	83 	0.322
67	8.34	83 	0.327
68	8.35	83 	0.332
69	8.36	84 	0.337
70	8.38	84 	0.342
71	8.39	84 	0.347
72	8.41	84 	0.352
73	8.42	84 	0.356
74	8.44	84 	0.361
75	8.45	85 	0.366
76	8.47	85 	0.371
77	8.48	85 	0.376
78	8.50	85 	0.381
79	8.51	85 	0.386
80	8.53	85 	0.391
81	8.54	85 	0.396
82	8.56	86 	0.400
