//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 2-16-2014
//--  Time: 15:22
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Coolant Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:000//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: -4.0(F), 	Resistance 1: 16200.0 Ohms 
//--    Temperature2: 68.0(F), 	Resistance 2: 2500.0 Ohms 
//--    Temperature3: 176.0(F), 	Resistance 3: 300.0 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	180.00	1800 	0.000
1	180.00	1800 	0.005
2	180.00	1800 	0.010
3	180.00	1800 	0.015
4	180.00	1800 	0.020
5	180.00	1800 	0.024
6	180.00	1800 	0.029
7	180.00	1800 	0.034
8	180.00	1800 	0.039
9	180.00	1800 	0.044
10	180.00	1800 	0.049
11	180.00	1800 	0.054
12	348.77	3488 	0.059
13	341.29	3413 	0.063
14	334.48	3345 	0.068
15	328.22	3282 	0.073
16	322.45	3225 	0.078
17	317.10	3171 	0.083
18	312.10	3121 	0.088
19	307.43	3074 	0.093
20	303.04	3030 	0.098
21	298.91	2989 	0.103
22	295.00	2950 	0.107
23	291.30	2913 	0.112
24	287.78	2878 	0.117
25	284.44	2844 	0.122
26	281.24	2812 	0.127
27	278.19	2782 	0.132
28	275.27	2753 	0.137
29	272.46	2725 	0.142
30	269.77	2698 	0.146
31	267.18	2672 	0.151
32	264.69	2647 	0.156
33	262.29	2623 	0.161
34	259.97	2600 	0.166
35	257.73	2577 	0.171
36	255.56	2556 	0.176
37	253.46	2535 	0.181
38	251.42	2514 	0.186
39	249.45	2495 	0.190
40	247.53	2475 	0.195
41	245.67	2457 	0.200
42	243.86	2439 	0.205
43	242.10	2421 	0.210
44	240.39	2404 	0.215
45	238.72	2387 	0.220
46	237.09	2371 	0.225
47	235.50	2355 	0.229
48	233.95	2340 	0.234
49	232.44	2324 	0.239
50	230.96	2310 	0.244
51	229.51	2295 	0.249
52	228.10	2281 	0.254
53	226.72	2267 	0.259
54	225.36	2254 	0.264
55	224.04	2240 	0.269
56	222.74	2227 	0.273
57	221.47	2215 	0.278
58	220.22	2202 	0.283
59	219.00	2190 	0.288
60	217.80	2178 	0.293
61	216.62	2166 	0.298
62	215.47	2155 	0.303
63	214.33	2143 	0.308
64	213.22	2132 	0.313
65	212.12	2121 	0.317
66	211.04	2110 	0.322
67	209.99	2100 	0.327
68	208.94	2089 	0.332
69	207.92	2079 	0.337
70	206.91	2069 	0.342
71	205.92	2059 	0.347
72	204.94	2049 	0.352
73	203.98	2040 	0.356
74	203.04	2030 	0.361
75	202.10	2021 	0.366
76	201.19	2012 	0.371
77	200.28	2003 	0.376
78	199.39	1994 	0.381
79	198.51	1985 	0.386
80	197.64	1976 	0.391
81	196.78	1968 	0.396
82	195.94	1959 	0.400
83	195.11	1951 	0.405
84	194.28	1943 	0.410
85	193.47	1935 	0.415
86	192.67	1927 	0.420
87	191.88	1919 	0.425
88	191.10	1911 	0.430
89	190.33	1903 	0.435
90	189.56	1896 	0.439
91	188.81	1888 	0.444
92	188.07	1881 	0.449
93	187.33	1873 	0.454
94	186.61	1866 	0.459
95	185.89	1859 	0.464
96	185.18	1852 	0.469
97	184.48	1845 	0.474
