//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 2-15-2014
//--  Time: 16:47
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Coolant Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:000//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 50000.0 Ohms
//--    Temperature1: -40.0(F), 	Resistance 1: 2022088.0 Ohms 
//--    Temperature2: 69.8(F), 	Resistance 2: 68273.0 Ohms 
//--    Temperature3: 210.2(F), 	Resistance 3: 3715.0 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	180.00	1800 	0.000
1	180.00	1800 	0.005
2	180.00	1800 	0.010
3	180.00	1800 	0.015
4	180.00	1800 	0.020
5	180.00	1800 	0.024
6	180.00	1800 	0.029
7	180.00	1800 	0.034
8	180.00	1800 	0.039
9	180.00	1800 	0.044
10	180.00	1800 	0.049
11	345.18	3452 	0.054
12	337.93	3379 	0.059
13	331.35	3313 	0.063
14	325.34	3253 	0.068
15	319.82	3198 	0.073
16	314.72	3147 	0.078
17	309.98	3100 	0.083
18	305.55	3056 	0.088
19	301.40	3014 	0.093
20	297.50	2975 	0.098
21	293.82	2938 	0.103
22	290.34	2903 	0.107
23	287.04	2870 	0.112
24	283.90	2839 	0.117
25	280.90	2809 	0.122
26	278.05	2780 	0.127
27	275.31	2753 	0.132
28	272.70	2727 	0.137
29	270.18	2702 	0.142
30	267.77	2678 	0.146
31	265.44	2654 	0.151
32	263.21	2632 	0.156
33	261.04	2610 	0.161
34	258.96	2590 	0.166
35	256.94	2569 	0.171
36	254.99	2550 	0.176
37	253.09	2531 	0.181
38	251.26	2513 	0.186
39	249.48	2495 	0.190
40	247.75	2477 	0.195
41	246.07	2461 	0.200
42	244.43	2444 	0.205
43	242.84	2428 	0.210
44	241.29	2413 	0.215
45	239.78	2398 	0.220
46	238.30	2383 	0.225
47	236.87	2369 	0.229
48	235.46	2355 	0.234
49	234.09	2341 	0.239
50	232.75	2328 	0.244
51	231.44	2314 	0.249
52	230.16	2302 	0.254
53	228.90	2289 	0.259
54	227.67	2277 	0.264
55	226.47	2265 	0.269
56	225.29	2253 	0.273
57	224.14	2241 	0.278
58	223.00	2230 	0.283
59	221.89	2219 	0.288
60	220.80	2208 	0.293
61	219.73	2197 	0.298
62	218.68	2187 	0.303
63	217.64	2176 	0.308
64	216.63	2166 	0.313
65	215.63	2156 	0.317
66	214.65	2146 	0.322
67	213.68	2137 	0.327
68	212.73	2127 	0.332
69	211.80	2118 	0.337
70	210.88	2109 	0.342
71	209.98	2100 	0.347
72	209.09	2091 	0.352
73	208.21	2082 	0.356
74	207.34	2073 	0.361
75	206.49	2065 	0.366
76	205.65	2057 	0.371
77	204.83	2048 	0.376
78	204.01	2040 	0.381
79	203.21	2032 	0.386
80	202.41	2024 	0.391
81	201.63	2016 	0.396
82	200.86	2009 	0.400
83	200.09	2001 	0.405
84	199.34	1993 	0.410
85	198.60	1986 	0.415
86	197.87	1979 	0.420
87	197.14	1971 	0.425
88	196.43	1964 	0.430
89	195.72	1957 	0.435
90	195.02	1950 	0.439
91	194.33	1943 	0.444
92	193.65	1937 	0.449
93	192.98	1930 	0.454
94	192.31	1923 	0.459
95	191.65	1917 	0.464
96	191.00	1910 	0.469
97	190.36	1904 	0.474
