"MS2/Extra Alpha pre3.0.3x 20101029 14:11BST(c)KC/JSM/JBMS2"
Time	SecL	RPM	MAP	TP	AFR	MAT	CLT	Engine	Gego	Gair	Gwarm	Gbaro	Gammae	TPSacc	Gve	PW	DutyCycle1	Gve2	PW2	DutyCycle2	SparkAdv	knockRet	ColdAdv	Dwell	tpsDOT	mapDOT	IACstep	Batt V	deltaT	WallFuel1	WallFuel2	EAE1 %	EAE2 %	Load	Secondary Load	Ign load	Secondary Ign Load	EAE Load	AFR Load	EGT 6 temp	EGT 7 temp	gpioadc0	gpioadc1	gpioadc2	gpioadc3	status1	status2	status3	status4	status5	timing err%	AFR Target 1	Boost Duty	PWM Idle Duty	Lost sync count	Lost sync reason	InjTiming1	InjTiming2	PW3	PW4	VE Trim 1	VE Trim 2	VE Trim 3	VE Trim 4	RPMdot
22.297	141	0	99.0	-2	14.60	73.6	95.6	0	100	100	100	101	100	100	10	0.000	0.0	10	0.000	0.0	0.0	0.0	0.0	3.06	-9.6	-781.0	130	11.9	0	0	0	0	0	99.0	0.0	99.0	0.0	99.0	99.0	1739	1560	0	0	0	0	0	0	0	0	0	0.0	14.7	0	50.8	0	0	0.0	0.0	0.000	0.000	100.0	100.0	100.0	100.0	0
22.363	141	0	99.0	-2	14.60	73.6	95.7	0	100	100	100	101	100	100	10	0.000	0.0	10	0.000	0.0	0.0	0.0	0.0	3.06	-9.6	0.0	130	11.9	0	0	0	0	0	99.0	0.0	99.0	0.0	99.0	99.0	1731	1541	0	0	0	0	0	0	0	0	0	0.0	14.7	0	50.8	0	0	0.0	0.0	0.000	0.000	100.0	100.0	100.0	100.0	0
22.434	141	0	99.1	-2	14.60	73.7	95.7	0	100	100	100	101	100	100	10	0.000	0.0	10	0.000	0.0	0.0	0.0	0.0	3.06	-29.6	-781.0	130	11.9	0	0	0	0	0	99.3	0.0	99.3	0.0	99.3	99.3	1744	1546	0	0	0	0	0	0	0	0	0	0.0	14.7	0	50.8	0	0	0.0	0.0	0.000	0.000	100.0	100.0	100.0	100.0	0
22.504	141	0	99.1	-2	14.60	73.7	95.8	0	100	100	100	101	100	100	10	0.000	0.0	10	0.000	0.0	0.0	0.0	0.0	3.06	-9.8	0.0	130	11.9	0	0	0	0	0	99.1	0.0	99.1	0.0	99.1	99.1	1741	1552	0	0	0	0	0	0	0	0	0	0.0	14.7	0	50.8	0	0	0.0	0.0	0.000	0.000	100.0	100.0	100.0	100.0	0
22.572	141	0	99.1	-2	14.60	73.8	95.7	0	100	100	100	101	100	100	10	0.000	0.0	10	0.000	0.0	0.0	0.0	0.0	3.06	9.8	0.0	130	11.9	0	0	0	0	0	99.1	0.0	99.1	0.0	99.1	99.1	1731	1553	0	0	0	0	0	0	0	0	0	0.0	14.7	0	50.8	0	0	0.0	0.0	0.000	0.000	100.0	100.0	100.0	100.0	0
22.639	141	0	99.1	-2	14.60	73.8	95.5	0	100	100	100	101	100	100	10	0.000	0.0	10	0.000	0.0	0.0	0.0	0.0	3.06	-9.6	0.0	130	11.9	0	0	0	0	0	99.1	0.0	99.1	0.0	99.1	99.1	1744	1545	0	0	0	0	0	0	0	0	0	0.0	14.7	0	50.8	0	0	0.0	0.0	0.000	0.000	100.0	100.0	100.0	100.0	0
22.705	141	0	99.2	-2	14.60	73.7	95.5	0	100	100	100	101	100	100	10	0.000	0.0	10	0.000	0.0	0.0	0.0	0.0	3.06	28.9	390.0	130	11.9	0	0	0	0	0	99.1	0.0	99.1	0.0	99.1	99.1	1724	1564	0	0	0	0	0	0	0	0	0	0.0	14.7	0	50.8	0	0	0.0	0.0	0.000	0.000	100.0	100.0	100.0	100.0	0
22.784	141	0	99.1	-2	14.60	73.6	95.6	0	100	100	100	101	100	100	10	0.000	0.0	10	0.000	0.0	0.0	0.0	0.0	3.06	-9.8	390.0	130	11.9	0	0	0	0	0	99.0	0.0	99.0	0.0	99.0	99.0	1731	1555	0	0	0	0	0	0	0	0	0	0.0	14.7	0	50.8	0	0	0.0	0.0	0.000	0.000	100.0	100.0	100.0	100.0	0
22.846	141	0	99.1	-1	14.60	73.5	95.7	0	100	100	100	101	100	100	10	0.000	0.0	10	0.000	0.0	0.0	0.0	0.0	3.06	19.7	0.0	130	11.9	0	0	0	0	0	99.1	0.0	99.1	0.0	99.1	99.1	1725	1543	0	0	0	0	0	0	0	0	0	0.0	14.7	0	50.8	0	0	0.0	0.0	0.000	0.000	100.0	100.0	100.0	100.0	0
22.908	141	0	99.2	-1	14.60	73.7	95.7	0	100	100	100	101	100	100	10	0.000	0.0	10	0.000	0.0	0.0	0.0	0.0	3.06	19.2	-781.0	130	11.9	0	0	0	0	0	99.2	0.0	99.2	0.0	99.2	99.2	1713	1543	0	0	0	0	0	0	0	0	0	0.0	14.7	0	50.8	0	0	0.0	0.0	0.000	0.000	100.0	100.0	100.0	100.0	0
