//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 10-10-2010
//--  Time: 18:22
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using formula: adcValue    * 0.0097752 + 9 
//-- Table Identifier:002

ADC 	Value 	MSVal 	volts
0	9.00	90 	0.000
1	9.01	90 	0.005
2	9.02	90 	0.010
3	9.03	90 	0.015
4	9.04	90 	0.020
5	9.05	90 	0.024
6	9.06	91 	0.029
7	9.07	91 	0.034
8	9.08	91 	0.039
9	9.09	91 	0.044
10	9.10	91 	0.049
11	9.11	91 	0.054
12	9.12	91 	0.059
13	9.13	91 	0.063
14	9.14	91 	0.068
15	9.15	91 	0.073
16	9.16	92 	0.078
17	9.17	92 	0.083
18	9.18	92 	0.088
19	9.19	92 	0.093
20	9.20	92 	0.098
21	9.21	92 	0.103
22	9.22	92 	0.107
23	9.22	92 	0.112
24	9.23	92 	0.117
25	9.24	92 	0.122
26	9.25	93 	0.127
27	9.26	93 	0.132
28	9.27	93 	0.137
29	9.28	93 	0.142
30	9.29	93 	0.146
31	9.30	93 	0.151
32	9.31	93 	0.156
33	9.32	93 	0.161
34	9.33	93 	0.166
35	9.34	93 	0.171
36	9.35	94 	0.176
37	9.36	94 	0.181
38	9.37	94 	0.186
39	9.38	94 	0.190
40	9.39	94 	0.195
41	9.40	94 	0.200
42	9.41	94 	0.205
43	9.42	94 	0.210
44	9.43	94 	0.215
45	9.44	94 	0.220
46	9.45	94 	0.225
47	9.46	95 	0.229
48	9.47	95 	0.234
49	9.48	95 	0.239
50	9.49	95 	0.244
51	9.50	95 	0.249
52	9.51	95 	0.254
53	9.52	95 	0.259
54	9.53	95 	0.264
55	9.54	95 	0.269
56	9.55	95 	0.273
57	9.56	96 	0.278
58	9.57	96 	0.283
59	9.58	96 	0.288
60	9.59	96 	0.293
61	9.60	96 	0.298
62	9.61	96 	0.303
63	9.62	96 	0.308
64	9.63	96 	0.313
65	9.64	96 	0.317
66	9.65	96 	0.322
67	9.65	97 	0.327
68	9.66	97 	0.332
69	9.67	97 	0.337
70	9.68	97 	0.342
71	9.69	97 	0.347
72	9.70	97 	0.352
73	9.71	97 	0.356
74	9.72	97 	0.361
75	9.73	97 	0.366
76	9.74	97 	0.371
77	9.75	98 	0.376
78	9.76	98 	0.381
79	9.77	98 	0.386
80	9.78	98 	0.391
81	9.79	98 	0.396
82	9.80	98 	0.400
83	9.81	98 	0.405
84	9.82	98 	0.410
85	9.83	98 	0.415
86	9.84	98 	0.420
87	9.85	99 	0.425
88	9.86	99 	0.430
89	9.87	99 	0.435
90	9.88	99 	0.439
91	9.89	99 	0.444
92	9.90	99 	0.449
93	9.91	99 	0.454
94	9.92	99 	0.459
95	9.93	99 	0.464
96	9.94	99 	0.469
97	9.95	99 	0.474
98	9.96	100 	0.479
99	9.97	100 	0.483
100	9.98	100 	0.488
101	9.99	100 	0.493
102	10.00	100 	0.498
103	10.01	100 	0.503
104	10.02	100 	0.508
105	10.03	100 	0.513
106	10.04	100 	0.518
107	10.05	100 	0.522
108	10.06	101 	0.527
109	10.07	101 	0.532
110	10.08	101 	0.537
111	10.09	101 	0.542
112	10.09	101 	0.547
113	10.10	101 	0.552
