//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 11-6-2012
//--  Time: 19:57
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:0, 5     AFR:6.85, 21.89
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	6.85	69 	0.000
1	6.86	69 	0.005
2	6.88	69 	0.010
3	6.89	69 	0.015
4	6.91	69 	0.020
5	6.92	69 	0.024
6	6.94	69 	0.029
7	6.95	70 	0.034
8	6.97	70 	0.039
9	6.98	70 	0.044
10	7.00	70 	0.049
11	7.01	70 	0.054
12	7.03	70 	0.059
13	7.04	70 	0.063
14	7.06	71 	0.068
15	7.07	71 	0.073
16	7.09	71 	0.078
17	7.10	71 	0.083
18	7.11	71 	0.088
19	7.13	71 	0.093
20	7.14	71 	0.098
21	7.16	72 	0.103
22	7.17	72 	0.107
23	7.19	72 	0.112
24	7.20	72 	0.117
25	7.22	72 	0.122
26	7.23	72 	0.127
27	7.25	72 	0.132
28	7.26	73 	0.137
29	7.28	73 	0.142
30	7.29	73 	0.146
31	7.31	73 	0.151
32	7.32	73 	0.156
33	7.33	73 	0.161
34	7.35	73 	0.166
35	7.36	74 	0.171
36	7.38	74 	0.176
37	7.39	74 	0.181
38	7.41	74 	0.186
39	7.42	74 	0.190
40	7.44	74 	0.195
41	7.45	75 	0.200
42	7.47	75 	0.205
43	7.48	75 	0.210
44	7.50	75 	0.215
45	7.51	75 	0.220
46	7.53	75 	0.225
47	7.54	75 	0.229
48	7.56	76 	0.234
49	7.57	76 	0.239
50	7.58	76 	0.244
51	7.60	76 	0.249
52	7.61	76 	0.254
53	7.63	76 	0.259
54	7.64	76 	0.264
55	7.66	77 	0.269
56	7.67	77 	0.273
57	7.69	77 	0.278
58	7.70	77 	0.283
59	7.72	77 	0.288
60	7.73	77 	0.293
61	7.75	77 	0.298
62	7.76	78 	0.303
63	7.78	78 	0.308
64	7.79	78 	0.313
65	7.80	78 	0.317
66	7.82	78 	0.322
67	7.83	78 	0.327
68	7.85	78 	0.332
69	7.86	79 	0.337
70	7.88	79 	0.342
71	7.89	79 	0.347
72	7.91	79 	0.352
73	7.92	79 	0.356
74	7.94	79 	0.361
75	7.95	80 	0.366
76	7.97	80 	0.371
77	7.98	80 	0.376
78	8.00	80 	0.381
79	8.01	80 	0.386
80	8.03	80 	0.391
81	8.04	80 	0.396
82	8.05	81 	0.400
83	8.07	81 	0.405
84	8.08	81 	0.410
85	8.10	81 	0.415
86	8.11	81 	0.420
87	8.13	81 	0.425
88	8.14	81 	0.430
89	8.16	82 	0.435
90	8.17	82 	0.439
91	8.19	82 	0.444
92	8.20	82 	0.449
93	8.22	82 	0.454
94	8.23	82 	0.459
95	8.25	82 	0.464
96	8.26	83 	0.469
97	8.27	83 	0.474
98	8.29	83 	0.479
99	8.30	83 	0.483
100	8.32	83 	0.488
101	8.33	83 	0.493
102	8.35	83 	0.498
103	8.36	84 	0.503
104	8.38	84 	0.508
105	8.39	84 	0.513
106	8.41	84 	0.518
107	8.42	84 	0.522
108	8.44	84 	0.527
109	8.45	85 	0.532
110	8.47	85 	0.537
111	8.48	85 	0.542
112	8.49	85 	0.547
113	8.51	85 	0.552
114	8.52	85 	0.557
115	8.54	85 	0.562
116	8.55	86 	0.566
117	8.57	86 	0.571
118	8.58	86 	0.576
119	8.60	86 	0.581
120	8.61	86 	0.586
121	8.63	86 	0.591
122	8.64	86 	0.596
123	8.66	87 	0.601
124	8.67	87 	0.605
125	8.69	87 	0.610
126	8.70	87 	0.615
127	8.72	87 	0.620
128	8.73	87 	0.625
129	8.74	87 	0.630
130	8.76	88 	0.635
131	8.77	88 	0.640
132	8.79	88 	0.645
133	8.80	88 	0.649
134	8.82	88 	0.654
135	8.83	88 	0.659
136	8.85	88 	0.664
137	8.86	89 	0.669
138	8.88	89 	0.674
139	8.89	89 	0.679
140	8.91	89 	0.684
141	8.92	89 	0.688
142	8.94	89 	0.693
143	8.95	90 	0.698
144	8.97	90 	0.703
145	8.98	90 	0.708
146	8.99	90 	0.713
147	9.01	90 	0.718
148	9.02	90 	0.723
149	9.04	90 	0.728
150	9.05	91 	0.732
151	9.07	91 	0.737
152	9.08	91 	0.742
153	9.10	91 	0.747
154	9.11	91 	0.752
155	9.13	91 	0.757
156	9.14	91 	0.762
157	9.16	92 	0.767
158	9.17	92 	0.771
159	9.19	92 	0.776
160	9.20	92 	0.781
161	9.21	92 	0.786
162	9.23	92 	0.791
163	9.24	92 	0.796
164	9.26	93 	0.801
165	9.27	93 	0.806
166	9.29	93 	0.811
167	9.30	93 	0.815
168	9.32	93 	0.820
169	9.33	93 	0.825
170	9.35	93 	0.830
171	9.36	94 	0.835
172	9.38	94 	0.840
173	9.39	94 	0.845
174	9.41	94 	0.850
175	9.42	94 	0.854
176	9.43	94 	0.859
177	9.45	94 	0.864
178	9.46	95 	0.869
179	9.48	95 	0.874
180	9.49	95 	0.879
181	9.51	95 	0.884
182	9.52	95 	0.889
183	9.54	95 	0.894
184	9.55	96 	0.898
185	9.57	96 	0.903
186	9.58	96 	0.908
187	9.60	96 	0.913
188	9.61	96 	0.918
189	9.63	96 	0.923
190	9.64	96 	0.928
191	9.66	97 	0.933
192	9.67	97 	0.938
193	9.68	97 	0.942
194	9.70	97 	0.947
195	9.71	97 	0.952
196	9.73	97 	0.957
197	9.74	97 	0.962
198	9.76	98 	0.967
199	9.77	98 	0.972
200	9.79	98 	0.977
201	9.80	98 	0.981
202	9.82	98 	0.986
203	9.83	98 	0.991
204	9.85	98 	0.996
205	9.86	99 	1.001
206	9.88	99 	1.006
207	9.89	99 	1.011
208	9.90	99 	1.016
209	9.92	99 	1.021
210	9.93	99 	1.025
211	9.95	99 	1.030
212	9.96	100 	1.035
213	9.98	100 	1.040
214	9.99	100 	1.045
215	10.01	100 	1.050
216	10.02	100 	1.055
217	10.04	100 	1.060
218	10.05	101 	1.064
219	10.07	101 	1.069
220	10.08	101 	1.074
221	10.10	101 	1.079
222	10.11	101 	1.084
223	10.13	101 	1.089
224	10.14	101 	1.094
225	10.15	102 	1.099
226	10.17	102 	1.104
227	10.18	102 	1.108
228	10.20	102 	1.113
229	10.21	102 	1.118
230	10.23	102 	1.123
231	10.24	102 	1.128
232	10.26	103 	1.133
233	10.27	103 	1.138
234	10.29	103 	1.143
235	10.30	103 	1.147
236	10.32	103 	1.152
237	10.33	103 	1.157
238	10.35	103 	1.162
239	10.36	104 	1.167
240	10.38	104 	1.172
241	10.39	104 	1.177
242	10.40	104 	1.182
243	10.42	104 	1.187
244	10.43	104 	1.191
245	10.45	104 	1.196
246	10.46	105 	1.201
247	10.48	105 	1.206
248	10.49	105 	1.211
249	10.51	105 	1.216
250	10.52	105 	1.221
251	10.54	105 	1.226
252	10.55	106 	1.230
253	10.57	106 	1.235
254	10.58	106 	1.240
255	10.60	106 	1.245
256	10.61	106 	1.250
257	10.62	106 	1.255
258	10.64	106 	1.260
259	10.65	107 	1.265
260	10.67	107 	1.270
261	10.68	107 	1.274
262	10.70	107 	1.279
263	10.71	107 	1.284
264	10.73	107 	1.289
265	10.74	107 	1.294
266	10.76	108 	1.299
267	10.77	108 	1.304
268	10.79	108 	1.309
269	10.80	108 	1.313
270	10.82	108 	1.318
271	10.83	108 	1.323
272	10.85	108 	1.328
273	10.86	109 	1.333
274	10.87	109 	1.338
275	10.89	109 	1.343
276	10.90	109 	1.348
277	10.92	109 	1.353
278	10.93	109 	1.357
279	10.95	109 	1.362
280	10.96	110 	1.367
281	10.98	110 	1.372
282	10.99	110 	1.377
283	11.01	110 	1.382
284	11.02	110 	1.387
285	11.04	110 	1.392
286	11.05	111 	1.396
287	11.07	111 	1.401
288	11.08	111 	1.406
289	11.09	111 	1.411
290	11.11	111 	1.416
291	11.12	111 	1.421
292	11.14	111 	1.426
293	11.15	112 	1.431
294	11.17	112 	1.436
295	11.18	112 	1.440
296	11.20	112 	1.445
297	11.21	112 	1.450
298	11.23	112 	1.455
299	11.24	112 	1.460
300	11.26	113 	1.465
301	11.27	113 	1.470
302	11.29	113 	1.475
303	11.30	113 	1.479
304	11.32	113 	1.484
305	11.33	113 	1.489
306	11.34	113 	1.494
307	11.36	114 	1.499
308	11.37	114 	1.504
309	11.39	114 	1.509
310	11.40	114 	1.514
311	11.42	114 	1.519
312	11.43	114 	1.523
313	11.45	114 	1.528
314	11.46	115 	1.533
315	11.48	115 	1.538
316	11.49	115 	1.543
317	11.51	115 	1.548
318	11.52	115 	1.553
319	11.54	115 	1.558
320	11.55	116 	1.563
321	11.56	116 	1.567
322	11.58	116 	1.572
323	11.59	116 	1.577
324	11.61	116 	1.582
325	11.62	116 	1.587
326	11.64	116 	1.592
327	11.65	117 	1.597
328	11.67	117 	1.602
329	11.68	117 	1.606
330	11.70	117 	1.611
331	11.71	117 	1.616
332	11.73	117 	1.621
333	11.74	117 	1.626
334	11.76	118 	1.631
335	11.77	118 	1.636
336	11.79	118 	1.641
337	11.80	118 	1.646
338	11.81	118 	1.650
339	11.83	118 	1.655
340	11.84	118 	1.660
341	11.86	119 	1.665
342	11.87	119 	1.670
343	11.89	119 	1.675
344	11.90	119 	1.680
345	11.92	119 	1.685
346	11.93	119 	1.689
347	11.95	119 	1.694
348	11.96	120 	1.699
349	11.98	120 	1.704
350	11.99	120 	1.709
351	12.01	120 	1.714
352	12.02	120 	1.719
353	12.03	120 	1.724
354	12.05	120 	1.729
355	12.06	121 	1.733
356	12.08	121 	1.738
357	12.09	121 	1.743
358	12.11	121 	1.748
359	12.12	121 	1.753
360	12.14	121 	1.758
361	12.15	122 	1.763
362	12.17	122 	1.768
363	12.18	122 	1.772
364	12.20	122 	1.777
365	12.21	122 	1.782
366	12.23	122 	1.787
367	12.24	122 	1.792
368	12.26	123 	1.797
369	12.27	123 	1.802
370	12.28	123 	1.807
371	12.30	123 	1.812
372	12.31	123 	1.816
373	12.33	123 	1.821
374	12.34	123 	1.826
375	12.36	124 	1.831
376	12.37	124 	1.836
377	12.39	124 	1.841
378	12.40	124 	1.846
379	12.42	124 	1.851
380	12.43	124 	1.855
381	12.45	124 	1.860
382	12.46	125 	1.865
383	12.48	125 	1.870
384	12.49	125 	1.875
385	12.50	125 	1.880
386	12.52	125 	1.885
387	12.53	125 	1.890
388	12.55	125 	1.895
389	12.56	126 	1.899
390	12.58	126 	1.904
391	12.59	126 	1.909
392	12.61	126 	1.914
393	12.62	126 	1.919
394	12.64	126 	1.924
395	12.65	127 	1.929
396	12.67	127 	1.934
397	12.68	127 	1.938
398	12.70	127 	1.943
399	12.71	127 	1.948
400	12.73	127 	1.953
401	12.74	127 	1.958
402	12.75	128 	1.963
403	12.77	128 	1.968
404	12.78	128 	1.973
405	12.80	128 	1.978
406	12.81	128 	1.982
407	12.83	128 	1.987
408	12.84	128 	1.992
409	12.86	129 	1.997
410	12.87	129 	2.002
411	12.89	129 	2.007
412	12.90	129 	2.012
413	12.92	129 	2.017
414	12.93	129 	2.021
415	12.95	129 	2.026
416	12.96	130 	2.031
417	12.97	130 	2.036
418	12.99	130 	2.041
419	13.00	130 	2.046
420	13.02	130 	2.051
421	13.03	130 	2.056
422	13.05	130 	2.061
423	13.06	131 	2.065
424	13.08	131 	2.070
425	13.09	131 	2.075
426	13.11	131 	2.080
427	13.12	131 	2.085
428	13.14	131 	2.090
429	13.15	132 	2.095
430	13.17	132 	2.100
431	13.18	132 	2.104
432	13.20	132 	2.109
433	13.21	132 	2.114
434	13.22	132 	2.119
435	13.24	132 	2.124
436	13.25	133 	2.129
437	13.27	133 	2.134
438	13.28	133 	2.139
439	13.30	133 	2.144
440	13.31	133 	2.148
441	13.33	133 	2.153
442	13.34	133 	2.158
443	13.36	134 	2.163
444	13.37	134 	2.168
445	13.39	134 	2.173
446	13.40	134 	2.178
447	13.42	134 	2.183
448	13.43	134 	2.188
449	13.44	134 	2.192
450	13.46	135 	2.197
451	13.47	135 	2.202
452	13.49	135 	2.207
453	13.50	135 	2.212
454	13.52	135 	2.217
455	13.53	135 	2.222
456	13.55	135 	2.227
457	13.56	136 	2.231
458	13.58	136 	2.236
459	13.59	136 	2.241
460	13.61	136 	2.246
461	13.62	136 	2.251
462	13.64	136 	2.256
463	13.65	137 	2.261
464	13.67	137 	2.266
465	13.68	137 	2.271
466	13.69	137 	2.275
467	13.71	137 	2.280
468	13.72	137 	2.285
469	13.74	137 	2.290
470	13.75	138 	2.295
471	13.77	138 	2.300
472	13.78	138 	2.305
473	13.80	138 	2.310
474	13.81	138 	2.314
475	13.83	138 	2.319
476	13.84	138 	2.324
477	13.86	139 	2.329
478	13.87	139 	2.334
479	13.89	139 	2.339
480	13.90	139 	2.344
481	13.91	139 	2.349
482	13.93	139 	2.354
483	13.94	139 	2.358
484	13.96	140 	2.363
485	13.97	140 	2.368
486	13.99	140 	2.373
487	14.00	140 	2.378
488	14.02	140 	2.383
489	14.03	140 	2.388
490	14.05	140 	2.393
491	14.06	141 	2.397
492	14.08	141 	2.402
493	14.09	141 	2.407
494	14.11	141 	2.412
495	14.12	141 	2.417
496	14.14	141 	2.422
497	14.15	141 	2.427
498	14.16	142 	2.432
499	14.18	142 	2.437
500	14.19	142 	2.441
501	14.21	142 	2.446
502	14.22	142 	2.451
503	14.24	142 	2.456
504	14.25	143 	2.461
505	14.27	143 	2.466
506	14.28	143 	2.471
507	14.30	143 	2.476
508	14.31	143 	2.480
509	14.33	143 	2.485
510	14.34	143 	2.490
511	14.36	144 	2.495
512	14.37	144 	2.500
513	14.38	144 	2.505
514	14.40	144 	2.510
515	14.41	144 	2.515
516	14.43	144 	2.520
517	14.44	144 	2.524
518	14.46	145 	2.529
519	14.47	145 	2.534
520	14.49	145 	2.539
521	14.50	145 	2.544
522	14.52	145 	2.549
523	14.53	145 	2.554
524	14.55	145 	2.559
525	14.56	146 	2.563
526	14.58	146 	2.568
527	14.59	146 	2.573
528	14.61	146 	2.578
529	14.62	146 	2.583
530	14.63	146 	2.588
531	14.65	146 	2.593
532	14.66	147 	2.598
533	14.68	147 	2.603
534	14.69	147 	2.607
535	14.71	147 	2.612
536	14.72	147 	2.617
537	14.74	147 	2.622
538	14.75	148 	2.627
539	14.77	148 	2.632
540	14.78	148 	2.637
541	14.80	148 	2.642
542	14.81	148 	2.646
543	14.83	148 	2.651
544	14.84	148 	2.656
545	14.85	149 	2.661
546	14.87	149 	2.666
547	14.88	149 	2.671
548	14.90	149 	2.676
549	14.91	149 	2.681
550	14.93	149 	2.686
551	14.94	149 	2.690
552	14.96	150 	2.695
553	14.97	150 	2.700
554	14.99	150 	2.705
555	15.00	150 	2.710
556	15.02	150 	2.715
557	15.03	150 	2.720
558	15.05	150 	2.725
559	15.06	151 	2.729
560	15.08	151 	2.734
561	15.09	151 	2.739
562	15.10	151 	2.744
563	15.12	151 	2.749
564	15.13	151 	2.754
565	15.15	151 	2.759
566	15.16	152 	2.764
567	15.18	152 	2.769
568	15.19	152 	2.773
569	15.21	152 	2.778
570	15.22	152 	2.783
571	15.24	152 	2.788
572	15.25	153 	2.793
573	15.27	153 	2.798
574	15.28	153 	2.803
575	15.30	153 	2.808
576	15.31	153 	2.813
577	15.32	153 	2.817
578	15.34	153 	2.822
579	15.35	154 	2.827
580	15.37	154 	2.832
581	15.38	154 	2.837
582	15.40	154 	2.842
583	15.41	154 	2.847
584	15.43	154 	2.852
585	15.44	154 	2.856
586	15.46	155 	2.861
587	15.47	155 	2.866
588	15.49	155 	2.871
589	15.50	155 	2.876
590	15.52	155 	2.881
591	15.53	155 	2.886
592	15.55	155 	2.891
593	15.56	156 	2.896
594	15.57	156 	2.900
595	15.59	156 	2.905
596	15.60	156 	2.910
597	15.62	156 	2.915
598	15.63	156 	2.920
599	15.65	156 	2.925
600	15.66	157 	2.930
601	15.68	157 	2.935
602	15.69	157 	2.939
603	15.71	157 	2.944
604	15.72	157 	2.949
605	15.74	157 	2.954
606	15.75	158 	2.959
607	15.77	158 	2.964
608	15.78	158 	2.969
609	15.79	158 	2.974
610	15.81	158 	2.979
611	15.82	158 	2.983
612	15.84	158 	2.988
613	15.85	159 	2.993
614	15.87	159 	2.998
