//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 9-1-2012
//--  Time: 16:52
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: 48(F), 	Resistance 1: 7000 Ohms 
//--    Temperature2: 87(F), 	Resistance 2: 1930 Ohms 
//--    Temperature3: 146(F), 	Resistance 3: 560 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	70.00	700 	0.000
1	70.00	700 	0.005
2	70.00	700 	0.010
3	70.00	700 	0.015
4	70.00	700 	0.020
5	70.00	700 	0.024
6	70.00	700 	0.029
7	70.00	700 	0.034
8	70.00	700 	0.039
9	70.00	700 	0.044
10	70.00	700 	0.049
11	70.00	700 	0.054
12	70.00	700 	0.059
13	70.00	700 	0.063
14	70.00	700 	0.068
15	70.00	700 	0.073
16	70.00	700 	0.078
17	70.00	700 	0.083
18	70.00	700 	0.088
19	70.00	700 	0.093
20	70.00	700 	0.098
21	70.00	700 	0.103
22	70.00	700 	0.107
23	349.93	3499 	0.112
24	344.20	3442 	0.117
25	338.79	3388 	0.122
26	333.68	3337 	0.127
27	328.83	3288 	0.132
28	324.21	3242 	0.137
29	319.82	3198 	0.142
30	315.64	3156 	0.146
31	311.63	3116 	0.151
32	307.81	3078 	0.156
33	304.14	3041 	0.161
34	300.62	3006 	0.166
35	297.24	2972 	0.171
36	293.98	2940 	0.176
37	290.85	2908 	0.181
38	287.83	2878 	0.186
39	284.91	2849 	0.190
40	282.10	2821 	0.195
41	279.37	2794 	0.200
42	276.74	2767 	0.205
43	274.19	2742 	0.210
44	271.72	2717 	0.215
45	269.32	2693 	0.220
46	266.99	2670 	0.225
47	264.73	2647 	0.229
48	262.53	2625 	0.234
49	260.39	2604 	0.239
50	258.31	2583 	0.244
51	256.29	2563 	0.249
52	254.31	2543 	0.254
53	252.39	2524 	0.259
54	250.51	2505 	0.264
55	248.68	2487 	0.269
56	246.90	2469 	0.273
57	245.15	2452 	0.278
58	243.45	2434 	0.283
59	241.78	2418 	0.288
60	240.15	2402 	0.293
61	238.56	2386 	0.298
62	237.00	2370 	0.303
63	235.47	2355 	0.308
64	233.97	2340 	0.313
65	232.51	2325 	0.317
66	231.07	2311 	0.322
67	229.66	2297 	0.327
68	228.28	2283 	0.332
69	226.93	2269 	0.337
70	225.60	2256 	0.342
71	224.30	2243 	0.347
72	223.02	2230 	0.352
73	221.76	2218 	0.356
74	220.52	2205 	0.361
75	219.31	2193 	0.366
76	218.12	2181 	0.371
77	216.95	2169 	0.376
78	215.79	2158 	0.381
79	214.66	2147 	0.386
80	213.54	2135 	0.391
81	212.45	2124 	0.396
82	211.37	2114 	0.400
83	210.30	2103 	0.405
84	209.26	2093 	0.410
85	208.23	2082 	0.415
86	207.21	2072 	0.420
87	206.21	2062 	0.425
88	205.22	2052 	0.430
89	204.25	2043 	0.435
90	203.30	2033 	0.439
91	202.35	2024 	0.444
92	201.42	2014 	0.449
93	200.50	2005 	0.454
94	199.60	1996 	0.459
95	198.71	1987 	0.464
96	197.83	1978 	0.469
97	196.96	1970 	0.474
98	196.10	1961 	0.479
99	195.25	1953 	0.483
100	194.42	1944 	0.488
101	193.59	1936 	0.493
102	192.78	1928 	0.498
103	191.97	1920 	0.503
104	191.18	1912 	0.508
105	190.39	1904 	0.513
106	189.62	1896 	0.518
107	188.85	1889 	0.522
108	188.09	1881 	0.527
109	187.34	1873 	0.532
110	186.60	1866 	0.537
111	185.87	1859 	0.542
112	185.15	1851 	0.547
113	184.43	1844 	0.552
114	183.73	1837 	0.557
115	183.03	1830 	0.562
116	182.34	1823 	0.566
117	181.65	1817 	0.571
118	180.97	1810 	0.576
119	180.31	1803 	0.581
120	179.64	1796 	0.586
121	178.99	1790 	0.591
122	178.34	1783 	0.596
123	177.69	1777 	0.601
124	177.06	1771 	0.605
125	176.43	1764 	0.610
126	175.81	1758 	0.615
127	175.19	1752 	0.620
128	174.58	1746 	0.625
129	173.97	1740 	0.630
130	173.37	1734 	0.635
131	172.78	1728 	0.640
132	172.19	1722 	0.645
133	171.61	1716 	0.649
134	171.03	1710 	0.654
135	170.46	1705 	0.659
136	169.89	1699 	0.664
137	169.33	1693 	0.669
138	168.77	1688 	0.674
139	168.22	1682 	0.679
140	167.68	1677 	0.684
141	167.13	1671 	0.688
142	166.60	1666 	0.693
143	166.07	1661 	0.698
144	165.54	1655 	0.703
145	165.01	1650 	0.708
146	164.50	1645 	0.713
147	163.98	1640 	0.718
148	163.47	1635 	0.723
149	162.96	1630 	0.728
150	162.46	1625 	0.732
151	161.96	1620 	0.737
152	161.47	1615 	0.742
153	160.98	1610 	0.747
154	160.50	1605 	0.752
155	160.01	1600 	0.757
156	159.53	1595 	0.762
157	159.06	1591 	0.767
158	158.59	1586 	0.771
159	158.12	1581 	0.776
160	157.66	1577 	0.781
161	157.20	1572 	0.786
162	156.74	1567 	0.791
163	156.29	1563 	0.796
164	155.84	1558 	0.801
165	155.39	1554 	0.806
166	154.95	1549 	0.811
167	154.51	1545 	0.815
168	154.07	1541 	0.820
169	153.64	1536 	0.825
